#,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,Skill Moves,Position,Height,Weight,Release Clause
35,Fabinho,28,Brazil,87,88,Liverpool,77000000,185000,Right,3,CDM,188,78,148200000
36,A. Robertson,28,Scotland,87,87,Liverpool,72000000,185000,Left,3,LB,178,64,133200000
37,T. Müller,32,Germany,87,87,FC Bayern München,63000000,115000,Right,3,CAM,185,76,104000000
38,Rodri,26,Spain,87,89,Manchester City,88500000,200000,Right,3,CDM,191,82,170400000
39,A. Rüdiger,29,Germany,87,88,Real Madrid CF,73500000,250000,Right,2,RCB,190,85,156200000
40,K. Koulibaly,31,Senegal,87,87,Chelsea,54500000,175000,Right,2,LCB,187,89,100800000
41,M. Maignan,26,France,87,90,AC Milan,80000000,90000,Right,1,GK,191,89,142000000
42,De Gea,31,Spain,87,87,Manchester United,42000000,150000,Right,1,GK,192,76,79800000
43,H. Lloris,35,France,87,87,Tottenham Hotspur,9000000,80000,Left,1,GK,188,82,17100000
44,Bruno Fernandes,27,Portugal,86,87,Manchester United,78500000,190000,Right,4,LCM,179,69,155000000
45,N. Barella,25,Italy,86,89,Inter,89500000,110000,Right,3,RCM,172,68,154400000
46,D. Alaba,30,Austria,86,86,Real Madrid CF,55500000,220000,Left,3,LCB,180,78,113800000
47,S. Milinković-Savić,27,Serbia,86,87,Lazio,77500000,90000,Right,4,RCM,191,76,137600000
48,M. Brozović,29,Croatia,86,86,Inter,58000000,110000,Right,3,CDM,181,68,95700000
49,Thiago,31,Spain,86,86,Liverpool,55500000,180000,Right,5,LCM,174,70,102700000
50,C. Nkunku,24,France,86,89,RB Leipzig,94000000,90000,Right,5,SUB,175,73,166900000
51,L. Martínez,24,Argentina,86,90,Inter,98500000,110000,Right,4,LS,174,72,169900000
52,Parejo,33,Spain,86,86,Villarreal CF,42000000,64000,Right,3,LCM,182,74,88200000
53,P. Dybala,28,Argentina,86,86,Roma,69500000,130000,Left,4,LF,177,75,118200000
54,R. Sterling,27,England,86,86,Chelsea,72500000,195000,Right,4,ST,170,69,134100000
55,R. Mahrez,31,Algeria,86,86,Manchester City,56500000,220000,Left,5,SUB,179,67,104500000
56,C. Immobile,32,Italy,86,86,Lazio,55000000,100000,Right,3,ST,185,85,93500000
57,R. Lukaku,29,Belgium,86,86,Inter,68000000,200000,Left,3,RS,191,94,
58,Thiago Silva,37,Brazil,86,86,Chelsea,12000000,115000,Right,2,CB,183,79,22200000
59,Vinícius Jr.,21,Brazil,86,92,Real Madrid CF,109000000,200000,Right,5,LW,176,73,245300000
60,K. Coman,26,France,86,87,FC Bayern München,80000000,105000,Right,5,LM,179,75,138000000
61,A. Laporte,28,Spain,86,87,Manchester City,64500000,195000,Left,2,LCB,191,85,124200000
62,M. Škriniar,27,Slovakia,86,87,Inter,68500000,105000,Right,2,RCB,188,80,118200000
63,W. Szczęsny,32,Poland,86,86,Juventus,33500000,125000,Right,1,GK,195,90,57000000
64,É. Mendy,30,Senegal,86,87,Chelsea,51000000,130000,Right,1,GK,197,86,98200000
65,M. Acuña,30,Argentina,85,85,Sevilla FC,46500000,46000,Left,3,LB,172,69,97700000
66,F. Kostić,29,Serbia,85,85,Eintracht Frankfurt,53000000,56000,Left,3,LM,184,84,90100000
67,Jordi Alba,33,Spain,85,85,FC Barcelona,28000000,190000,Left,3,LB,170,68,57400000
68,K. Walker,32,England,85,85,Manchester City,37500000,170000,Right,3,RB,183,83,69400000
69,T. Hernández,24,France,85,90,AC Milan,76000000,82000,Left,3,LB,184,81,134900000
70,İ. Gündoğan,31,Germany,85,85,Manchester City,44000000,185000,Right,4,SUB,180,80,81400000
71,Diogo Jota,25,Portugal,85,89,Liverpool,76000000,170000,Right,4,SUB,178,73,146300000
72,P. Pogba,29,France,85,85,Juventus,52500000,165000,Right,5,RES,191,84,89300000
73,M. Reus,33,Germany,85,85,Borussia Dortmund,33500000,78000,Right,4,CAM,180,71,57000000
74,Y. Carrasco,28,Belgium,85,85,Atlético de Madrid,54500000,90000,Right,4,LM,185,73,111700000
75,Jorginho,30,Italy,85,85,Chelsea,51500000,165000,Right,3,LCM,180,68,95300000
76,N. Fekir,28,France,85,85,Real Betis Balompié,54500000,48000,Left,4,CAM,173,75,114500000
77,J. Vardy,35,England,85,85,Leicester City,23000000,110000,Right,3,ST,179,74,43700000
78,Pedri,19,Spain,85,93,FC Barcelona,116000000,115000,Right,4,LCM,174,61,261000000
79,Gerard Moreno,30,Spain,85,85,Villarreal CF,53000000,64000,Left,3,RS,180,77,111300000
80,M. Depay,28,Netherlands,85,85,FC Barcelona,55000000,230000,Right,5,LW,176,78,112800000
81,P. Foden,22,England,85,92,Manchester City,109500000,180000,Left,4,RW,171,69,224500000
82,Iago Aspas,34,Spain,85,85,RC Celta de Vigo,26000000,50000,Left,3,RS,176,67,54600000
83,S. Gnabry,26,Germany,85,85,FC Bayern München,59000000,100000,Right,4,RM,176,77,97400000
84,P. Aubameyang,33,Gabon,85,85,FC Barcelona,34500000,220000,Right,4,SUB,187,80,70700000
85,Sergio Busquets,33,Spain,85,85,FC Barcelona,26500000,190000,Right,3,CDM,189,76,54300000
86,P. Schick,26,Czech Republic,85,87,Bayer 04 Leverkusen,67500000,95000,Left,4,ST,191,85,119800000
87,M. de Ligt,22,Netherlands,85,89,FC Bayern München,71000000,77000,Right,2,RCB,189,89,122500000
88,N. Süle,26,Germany,85,87,Borussia Dortmund,59000000,72000,Right,3,SUB,195,99,104700000
89,Y. Sommer,33,Switzerland,85,85,Borussia Mönchengladbach,17500000,40000,Right,1,GK,183,79,29800000
90,P. Gulácsi,32,Hungary,85,85,RB Leipzig,26500000,65000,Right,1,GK,191,86,45100000
91,L. Pellegrini,26,Italy,84,87,Roma,55000000,95000,Right,3,RCM,186,77,97600000
92,Marcos Llorente,27,Spain,84,85,Atlético de Madrid,48000000,81000,Right,3,RCM,184,74,102000000
93,R. De Paul,28,Argentina,84,84,Atlético de Madrid,42000000,85000,Right,4,SUB,180,70,86100000
94,I. Perišić,33,Croatia,84,84,Tottenham Hotspur,26500000,130000,Right,4,SUB,186,80,50400000
95,L. Suárez,35,Uruguay,84,84,Club Nacional de Football,18000000,1000,Right,3,LS,182,86,39600000
96,A. Hakimi,23,Morocco,84,87,Paris Saint-Germain,53500000,90000,Right,4,RWB,181,73,103000000
97,S. Tonali,22,Italy,84,90,AC Milan,62500000,75000,Right,3,RCM,181,79,118800000
98,R. James,22,England,84,88,Chelsea,57000000,120000,Right,3,RWB,178,87,109700000
99,Canales,31,Spain,84,84,Real Betis Balompié,35000000,42000,Left,4,RM,176,65,73500000
100,F. Kessié,25,Côte d'Ivoire,84,86,FC Barcelona,47500000,165000,Right,3,SUB,183,88,100900000
101,F. Valverde,23,Uruguay,84,90,Real Madrid CF,66000000,175000,Right,3,SUB,182,78,148500000
102,Y. Tielemans,25,Belgium,84,86,Leicester City,52500000,115000,Right,4,RDM,176,72,103700000
103,J. Bellingham,19,England,84,91,Borussia Dortmund,81500000,41000,Right,4,LDM,186,75,154900000
104,K. Trippier,31,England,84,84,Newcastle United,30500000,120000,Right,3,RB,173,71,58000000
105,H. Çalhanoğlu,28,Turkey,84,84,Inter,42000000,100000,Right,4,LCM,178,76,69300000
106,A. Davies,21,Canada,84,89,FC Bayern München,60500000,59000,Left,4,LB,185,77,104400000
107,T. Partey,29,Ghana,84,84,Arsenal,36000000,115000,Right,3,RCM,185,77,68400000
108,Á. Di María,34,Argentina,84,84,Juventus,20000000,160000,Left,5,RW,180,69,34000000
109,M. Kovačić,28,Croatia,84,84,Chelsea,42000000,155000,Right,4,SUB,176,80,77700000
110,Sergio Ramos,36,Spain,84,84,Paris Saint-Germain,7500000,75000,Right,3,RCB,184,82,13900000
111,M. Mount,23,England,84,87,Chelsea,57500000,130000,Right,3,RW,180,74,110700000
112,João Félix,22,Portugal,84,90,Atlético de Madrid,68500000,78000,Right,5,LS,181,70,154100000
113,M. Ødegaard,23,Norway,84,89,Arsenal,63500000,105000,Left,5,CAM,178,68,125400000
114,D. Tadić,33,Serbia,84,84,Ajax,26500000,32000,Left,4,ST,181,76,37100000
115,Carvajal,30,Spain,84,84,Real Madrid CF,36500000,185000,Right,3,RB,173,73,74800000
116,W. Ben Yedder,31,France,84,84,AS Monaco,35500000,88000,Right,4,ST,170,68,67500000
117,Muniain,29,Spain,84,84,Athletic Club de Bilbao,41500000,49000,Right,4,LM,170,66,87200000
118,W. Ndidi,25,Nigeria,84,86,Leicester City,47500000,105000,Right,3,RES,183,74,93800000
119,L. Sané,26,Germany,84,85,FC Bayern München,49500000,90000,Left,4,SUB,183,80,85400000
120,D. Rice,23,England,84,87,West Ham United,52000000,83000,Right,2,LDM,185,80,102700000
121,F. Chiesa,24,Italy,84,90,Juventus,66500000,140000,Right,4,RES,175,70,126400000
122,J. Tartt,24,England,84,91,AFC Richmond,85500000,78000,Right,5,RS,178,84,179600000
123,D. Berardi,27,Italy,84,84,U.S. Sassuolo Calcio,45000000,57000,Left,4,SUB,183,72,76500000
124,Oyarzabal,25,Spain,84,86,Real Sociedad,53000000,57000,Left,3,LW,181,79,115300000
125,L. Díaz,25,Colombia,84,87,Liverpool,56000000,155000,Right,4,LW,180,73,107800000
126,E. Hazard,31,Belgium,84,84,Real Madrid CF,35000000,220000,Right,4,SUB,175,74,71800000
127,Éder Militão,24,Brazil,84,89,Real Madrid CF,57500000,160000,Right,2,SUB,186,78,122200000
128,A. Gómez,34,Argentina,84,84,Sevilla FC,20000000,47000,Right,4,LW,167,68,42000000
129,M. Hummels,33,Germany,84,84,Borussia Dortmund,20000000,66000,Right,3,RCB,191,94,34000000
130,J. Grealish,26,England,84,85,Manchester City,49500000,185000,Right,4,LW,180,81,95300000
131,L. Hernández,26,France,84,86,FC Bayern München,46000000,82000,Left,2,LCB,184,79,79400000
132,L. Insigne,31,Italy,84,84,Toronto FC,35000000,19000,Right,4,LW,163,59,52500000
133,D. Mertens,35,Belgium,84,84,Galatasaray SK,18000000,86000,Right,4,CF,169,61,34200000
134,J. Sancho,22,England,84,88,Manchester United,61500000,155000,Right,5,LW,180,76,121500000
135,Rafael Leão,23,Portugal,84,90,AC Milan,66500000,90000,Right,4,LW,188,81,126400000
136,M. Diaby,22,France,84,88,Bayer 04 Leverkusen,61500000,70000,Left,4,LM,170,68,109200000
137,E. Džeko,36,Bosnia and Herzegovina,84,84,Inter,14500000,80000,Right,3,SUB,193,80,23900000
138,L. Bonucci,35,Italy,84,84,Juventus,11000000,95000,Right,2,RCB,190,85,18700000
139,J. Koundé,23,France,84,89,FC Barcelona,57500000,150000,Right,2,RCB,181,75,122200000
140,D. Vlahović,22,Serbia,84,91,Juventus,86500000,140000,Left,3,ST,190,75,164400000
141,R. Varane,29,France,84,85,Manchester United,39000000,155000,Right,2,LCB,191,81,77000000
142,J. Matip,30,Cameroon,84,84,Liverpool,34500000,140000,Right,2,RCB,194,90,63800000
143,A. Bastoni,23,Italy,84,90,Inter,60500000,75000,Left,2,LCB,190,75,111900000
144,F. Tomori,24,England,84,90,AC Milan,60500000,75000,Right,2,LCB,185,79,115000000
145,S. de Vrij,30,Netherlands,84,84,Inter,34500000,88000,Right,2,CB,189,78,56900000
146,G. Chiellini,37,Italy,84,84,Los Angeles FC,7500000,11000,Left,2,LCB,187,85,11300000
147,S. Savić,31,Montenegro,84,84,Atlético de Madrid,29000000,74000,Right,2,RCB,187,81,59500000
148,E. Martínez,29,Argentina,84,84,Aston Villa,29000000,95000,Right,1,GK,195,88,55100000
149,K. Casteels,30,Belgium,84,85,VfL Wolfsburg,31500000,55000,Left,1,GK,197,86,55900000
150,S. Handanovič,37,Slovenia,84,84,Inter,4700000,46000,Right,1,GK,193,92,7800000
151,Y. Bounou,31,Morocco,84,84,Sevilla FC,22500000,34000,Left,1,GK,192,78,47300000
152,Merino,26,Spain,83,86,Real Sociedad,47000000,49000,Left,3,LCM,189,83,102200000
153,A. Griezmann,31,France,83,83,Atlético de Madrid,30500000,185000,Left,4,RS,176,73,
154,J. Cuadrado,34,Colombia,83,83,Juventus,13500000,120000,Right,5,RB,179,72,23000000
155,T. Lemar,26,France,83,86,Atlético de Madrid,47000000,74000,Left,4,SUB,171,63,99900000
156,Angeliño,25,Spain,83,85,TSG Hoffenheim,42000000,64000,Left,4,LWB,171,69,
157,Koke,30,Spain,83,83,Atlético de Madrid,34500000,74000,Right,3,LCM,176,77,70700000
158,J. Henderson,32,England,83,83,Liverpool,28500000,135000,Right,3,RCM,182,80,52700000
159,Carlos Soler,25,Spain,83,88,Valencia CF,53000000,51000,Right,3,LCM,180,76,115300000
160,Rúben Neves,25,Portugal,83,86,Wolverhampton Wanderers,47500000,105000,Right,3,RCM,180,80,93800000
161,Jesús Navas,36,Spain,83,83,Sevilla FC,8000000,28000,Right,4,RB,172,60,16800000
162,Ricardo Pereira,28,Portugal,83,83,Leicester City,33000000,105000,Right,3,RB,175,70,62700000
163,Roberto Firmino,30,Brazil,83,83,Liverpool,35500000,150000,Right,5,SUB,181,76,65700000
164,F. Mendy,27,France,83,84,Real Madrid CF,38000000,170000,Left,4,LB,180,73,80800000
165,K. Laimer,25,Austria,83,84,RB Leipzig,38500000,64000,Right,3,LDM,180,72,68300000
166,Á. Correa,27,Argentina,83,84,Atlético de Madrid,42500000,80000,Right,4,SUB,171,70,90300000
167,Raphinha,25,Brazil,83,86,FC Barcelona,48000000,180000,Left,4,SUB,176,68,102000000
168,P. Zieliński,28,Poland,83,83,Napoli,36500000,78000,Right,4,LCM,180,75,62100000
169,Fabián,26,Spain,83,85,Napoli,44500000,75000,Left,4,RCM,189,70,79000000
170,R. Kent,40,England,83,83,AFC Richmond,0,45000,Left,3,LCM,182,82,
171,P. Højbjerg,26,Denmark,83,85,Tottenham Hotspur,40500000,110000,Right,3,LCM,187,84,80000000
172,De Tomás,27,Spain,83,84,RCD Espanyol de Barcelona,42500000,35000,Right,4,ST,180,79,92400000
173,Ronaldo Cabrais,30,Brazil,83,83,Palmeiras,35000000,59000,Right,4,RM,177,75,63000000
174,H. Ziyech,29,Morocco,83,83,Chelsea,35500000,155000,Left,5,SUB,181,65,65700000
175,Gabriel Jesus,25,Brazil,83,86,Arsenal,48500000,115000,Right,4,ST,175,73,95800000
176,C. Gakpo,23,Netherlands,83,87,PSV,52000000,29000,Right,4,LW,189,76,76700000
177,Fernando,34,Brazil,83,83,Sevilla FC,12500000,39000,Right,3,RCM,183,76,26300000
178,Marco Asensio,26,Spain,83,84,Real Madrid CF,43000000,200000,Left,4,SUB,182,76,91400000
179,David Silva,36,Spain,83,83,Real Sociedad,12000000,37000,Left,4,CAM,173,67,25200000
180,O. Dembélé,25,France,83,86,FC Barcelona,48000000,180000,Left,5,RW,178,67,102000000
181,V. Osimhen,23,Nigeria,83,89,Napoli,58000000,72000,Right,3,ST,185,78,110200000
182,Luis Alberto,29,Spain,83,83,Lazio,35500000,74000,Right,4,LCM,183,74,60400000
183,J. Stones,28,England,83,84,Manchester City,34500000,150000,Right,3,SUB,188,76,66400000
184,Piqué,35,Spain,83,83,FC Barcelona,9500000,110000,Right,2,LCB,194,85,19500000
185,P. Kimpembe,26,France,83,86,Paris Saint-Germain,42000000,95000,Left,2,LCB,189,80,80900000
186,D. Zapata,31,Colombia,83,83,Atalanta,30500000,77000,Right,3,ST,189,88,51900000
187,Diego Carlos,29,Brazil,83,83,Aston Villa,30500000,105000,Right,3,LCB,185,86,58000000
188,R. Araujo,23,Uruguay,83,89,FC Barcelona,52000000,135000,Right,2,RB,192,91,117000000
189,Pau Torres,25,Spain,83,89,Villarreal CF,50500000,43000,Left,2,LCB,191,80,116200000
190,C. Romero,24,Argentina,83,88,Tottenham Hotspur,49500000,55000,Right,3,RCB,185,79,
191,Bremer,25,Brazil,83,87,Juventus,45500000,115000,Right,2,LCB,188,82,80800000
192,J. Giménez,27,Uruguay,83,85,Atlético de Madrid,38500000,68000,Right,2,CB,185,80,81800000
193,K. Schmeichel,35,Denmark,83,83,OGC Nice,4000000,31000,Right,1,GK,189,89,7600000
194,Unai Simón,25,Spain,83,86,Athletic Club de Bilbao,37000000,30000,Right,1,GK,190,89,80500000
195,O. Baumann,32,Germany,83,83,TSG Hoffenheim,18000000,40000,Right,1,GK,187,82,30600000
196,G. Kobel,24,Switzerland,83,88,Borussia Dortmund,44000000,40000,Right,1,GK,195,88,78100000
197,L. Hrádecký,32,Finland,83,83,Bayer 04 Leverkusen,18000000,55000,Right,1,GK,192,83,30600000
198,E. Can,28,Germany,82,82,Borussia Dortmund,30500000,63000,Right,3,SUB,186,86,51900000
199,I. Bennacer,24,Algeria,82,86,AC Milan,40000000,63000,Left,4,LCM,175,70,71000000
200,R. Malinovskyi,29,Ukraine,82,82,Atalanta,30500000,73000,Left,4,LF,181,79,51900000
201,L. Digne,28,France,82,82,Aston Villa,27500000,100000,Left,3,LB,178,74,52300000
202,R. Gosens,27,Germany,82,82,Inter,29500000,59000,Left,3,LM,183,76,
203,Lucas Paquetá,24,Brazil,82,87,Olympique Lyonnais,46000000,70000,Left,5,LCM,180,72,90900000
204,Sergi Darder,28,Spain,82,82,RCD Espanyol de Barcelona,30500000,30000,Right,3,CAM,180,71,64100000
205,Grimaldo,26,Spain,82,85,SL Benfica,36500000,19000,Left,3,LB,172,67,75700000
206,G. Kondogbia,29,Central African Republic,82,82,Atlético de Madrid,29500000,71000,Left,3,CDM,188,80,60500000
207,Yuri Berchiche,32,Spain,82,82,Athletic Club de Bilbao,21000000,35000,Left,3,LB,181,80,44100000
208,R. Guerreiro,28,Portugal,82,82,Borussia Dortmund,27500000,57000,Left,4,LB,170,71,46800000
209,Anderson Talisca,28,Brazil,82,82,Al Nassr,31000000,64000,Left,4,CF,190,80,52700000
210,A. Tchouaméni,22,France,82,89,Real Madrid CF,61500000,145000,Right,3,SUB,187,81,138400000
211,G. Di Lorenzo,28,Italy,82,82,Napoli,27500000,66000,Right,3,RB,183,83,46800000
212,I. Rakitić,34,Croatia,82,82,Sevilla FC,14000000,39000,Right,3,SUB,184,78,29400000
213,M. Locatelli,24,Italy,82,86,Juventus,40000000,37000,Right,3,CDM,185,75,
214,Otávio,27,Portugal,82,82,FC Porto,32500000,21000,Right,4,RM,171,67,65000000
215,K. Volland,29,Germany,82,82,AS Monaco,30500000,76000,Left,3,SUB,179,85,58000000
216,M. Arnautović,33,Austria,82,82,Bologna,19500000,51000,Right,4,ST,192,83,33200000
217,B. Chilwell,25,England,82,85,Chelsea,37000000,110000,Left,3,LWB,180,77,71200000
218,L. Spinazzola,29,Italy,82,82,Roma,27000000,77000,Right,4,LM,186,75,45900000
219,N. Mazraoui,24,Morocco,82,86,FC Bayern München,40500000,59000,Right,3,RB,183,62,69900000
220,B. Saka,20,England,82,89,Arsenal,60500000,76000,Left,3,RM,178,65,127100000
221,I. Gueye,32,Senegal,82,82,Paris Saint-Germain,20500000,88000,Right,3,SUB,174,66,37900000
222,Gayà,27,Spain,82,83,Valencia CF,32000000,44000,Left,4,LB,172,66,69600000
223,J. Maddison,25,England,82,84,Leicester City,38000000,100000,Right,4,CAM,175,73,75100000
224,Coutinho,30,Brazil,82,82,Aston Villa,29500000,100000,Right,5,LW,172,68,56100000
225,R. Jiménez,31,Mexico,82,82,Wolverhampton Wanderers,25500000,110000,Right,3,ST,188,81,48500000
226,André Silva,26,Portugal,82,84,RB Leipzig,38000000,73000,Right,4,SUB,185,84,67500000
227,S. Berghuis,30,Netherlands,82,82,Ajax,29500000,25000,Left,4,CAM,182,75,41300000
228,D. Núñez,23,Uruguay,82,89,Liverpool,61500000,120000,Right,3,ST,186,80,126100000
229,Azpilicueta,32,Spain,82,82,Chelsea,20000000,115000,Right,2,RCB,178,77,37000000
230,D. Dumfries,26,Netherlands,82,84,Inter,34500000,73000,Right,2,RM,188,80,59500000
231,Isco,30,Spain,82,82,Sevilla FC,29500000,39000,Right,4,CAM,176,79,62000000
232,A. Kramarić,31,Croatia,82,82,TSG Hoffenheim,25500000,54000,Right,4,ST,177,73,43400000
233,Dani Olmo,24,Spain,82,87,RB Leipzig,46000000,59000,Right,4,SUB,179,72,81700000
234,Gonçalo Guedes,25,Portugal,82,85,Wolverhampton Wanderers,41000000,105000,Right,4,SUB,179,68,81000000
235,D. Rojas,26,Mexico,82,85,AFC Richmond,40500000,74000,Right,4,LS,183,75,80000000
236,Ferran Torres,22,Spain,82,88,FC Barcelona,49000000,150000,Right,4,SUB,184,77,110300000
237,J. Brandt,26,Germany,82,85,Borussia Dortmund,40000000,60000,Right,4,SUB,185,83,71000000
238,D. Payet,35,France,82,82,Olympique de Marseille,12500000,40000,Right,4,LF,175,77,23800000
239,A. Danjuma,25,Netherlands,82,83,Villarreal CF,36500000,43000,Right,4,LM,178,74,79400000
240,Antony,22,Brazil,82,88,Ajax,49000000,24000,Left,5,RW,174,63,78400000
241,W. Zaha,29,Côte d'Ivoire,82,82,Crystal Palace,30000000,85000,Right,5,LM,180,66,57000000
242,L. Muriel,31,Colombia,82,82,Atalanta,25500000,70000,Right,4,SUB,179,79,43400000
243,C. Eriksen,30,Denmark,82,82,Manchester United,29000000,135000,Right,4,SUB,181,76,55100000
244,Rafa,29,Portugal,82,82,SL Benfica,30000000,24000,Right,4,CF,172,66,60000000
245,T. Werner,26,Germany,82,84,RB Leipzig,38000000,73000,Right,3,ST,180,76,67500000
246,F. Wirtz,19,Germany,82,91,Bayer 04 Leverkusen,66000000,38000,Right,4,SUB,176,70,125400000
247,Iñigo Martínez,31,Spain,82,82,Athletic Club de Bilbao,21000000,35000,Left,2,LCB,182,77,44100000
248,T. Alderweireld,33,Belgium,82,82,Royal Antwerp FC,14500000,30000,Right,2,RCB,186,81,21800000
249,N. Schlotterbeck,22,Germany,82,88,Borussia Dortmund,44500000,47000,Left,3,LCB,191,86,84600000
250,Gabriel Paulista,31,Brazil,82,82,Valencia CF,21000000,44000,Right,2,RCB,185,72,44100000
251,Z. Ibrahimović,40,Sweden,82,82,AC Milan,0,63000,Right,5,RES,195,102,
252,C. Pulisic,23,United States,82,88,Chelsea,48000000,120000,Right,4,SUB,177,69,98400000
253,M. Ginter,28,Germany,82,83,Sport-Club Freiburg,29000000,40000,Right,2,LCB,191,86,51500000
254,S. Haller,28,Côte d'Ivoire,82,82,Borussia Dortmund,31000000,68000,Right,3,RES,190,82,52700000
255,O. Giroud,35,France,82,82,AC Milan,13000000,66000,Left,3,ST,192,93,22100000
256,T. Abraham,24,England,82,85,Roma,42000000,77000,Right,3,ST,195,86,74600000
257,Nacho Fernández,32,Spain,82,82,Real Madrid CF,20000000,155000,Right,2,SUB,180,76,41000000
258,Josué Chiamulera,30,Brazil,82,82,Club Athletico Paranaense,25000000,23000,Right,2,RCB,185,80,47500000
259,S. Kjær,33,Denmark,82,82,AC Milan,14500000,73000,Right,2,SUB,190,86,24700000
260,F. Acerbi,34,Italy,82,82,Lazio,10000000,59000,Left,3,RCB,192,88,17000000
261,Aritz Elustondo,28,Spain,82,83,Real Sociedad,29000000,43000,Right,2,RCB,180,71,63100000
262,S. Coates,31,Uruguay,82,82,Sporting CP,21000000,19000,Right,2,CB,196,94,42000000
263,A. Christensen,26,Denmark,82,86,FC Barcelona,37500000,145000,Right,2,SUB,188,81,79700000
264,J. Tah,26,Germany,82,84,Bayer 04 Leverkusen,33500000,62000,Right,2,RCB,195,98,59500000
265,Raúl Albiol,36,Spain,82,82,Villarreal CF,5500000,30000,Right,2,RCB,190,82,11600000
266,W. Orban,29,Hungary,82,82,RB Leipzig,25500000,65000,Right,2,CB,186,87,43400000
267,J. Pickford,28,England,82,84,Everton,26000000,45000,Left,1,GK,185,77,51400000
268,A. Onana,26,Cameroon,82,85,Inter,30500000,59000,Right,1,SUB,190,93,52600000
269,A. Ramsdale,24,England,82,86,Arsenal,34500000,62000,Right,1,GK,191,77,68100000
270,Rui Patrício,34,Portugal,82,82,Roma,5000000,59000,Left,1,GK,190,84,8500000
271,G. Rulli,30,Argentina,82,82,Villarreal CF,20500000,34000,Right,1,GK,189,84,43100000
272,Lucas Mantela,22,Brazil,82,82,Palmeiras,27000000,33000,Right,1,GK,183,77,48600000
